id,fname,lname,nickname,division,rank,style,country,debut
1,Islam,Makhachev,,Lightweight,C,Sambo,Russia,2015-05-23
2,Alexandre,Pantoja,The Cannibal,Flyweight,C,MMA,Brazil,2017-01-29
3,Merab,Dvalishvili,The Machine,Bantamweight,C,Freestyle,Georgia,2017-12-09
4,Ilia,Topuria,El  Matador,Featherweight,C,Brazilian Jiu-Jitsu,Germany,2020-10-10
5,Belal,Muhammad,Remember The Name,Welterweight,C,MMA,United States,2016-07-07
6,Dricus,Du Plessis,Stillknocks,Middleweight,C,MMA,South Africa,2020-10-10
7,Alex,Pereira,Poatan,Light Heavyweight,C,Kickboxer,Brazil,2021-11-06
8,Jon,Jones,Bones,Heavyweight,C,MMA,United States,2008-08-09
9,Valentina,Shevchenko,Bullet,Women's Flyweight,C,Muay Thai,Kyrgyzstan,2015-12-19
10,Zhang,Weili,Magnum,Women's Strawweight,C,Muay Thai,China,2018-08-04
11,Julianna,Peña,The Venezuelan Vixen,Women's Bantamweight,C,MMA,United States,2013-12-01
12,Brandon,Royval,Raw Dawg,Flyweight,1,Brawler,United States,2020-05-30
13,Brandon,Moreno,The Assassin Baby,Flyweight,2,Jiu-Jitsu,Mexico,2016-10-02
14,Amir,Albazi,The Prince,Flyweight,3,Jiu-Jitsu,Iraq,2020-07-18
15,Kai,Kara-France,Don't Blink,Flyweight,4,Kickboxer,New Zealand,2018-12-02
16,Tatsuro,Taira,,Flyweight,5,MMA,Japan,2022-04-30
17,Alex,Perez,,Flyweight,6,Freestyle,United States,2017-08-08
18,Asu,Almabayev,Zulfikar,Flyweight,7,MMA,Kazakhstan,2023-08-05
19,Manel,Kape,StarBoy,Flyweight,8,MMA,Angola,2021-02-06
20,Steve,Erceg,Astroboy,Flyweight,9,MMA,Australia,2023-05-20
21,Matheus,Nicolau,,Flyweight,10,Boxing,Brazil,2015-11-07
22,Tim,Elliott,,Flyweight,11,Freestyle,United States,2012-05-05
23,Tagir,Ulanbekov,,Flyweight,12,Grappler,Russia,2020-10-10
24,Bruno,Silva,Bulldog,Flyweight,13,Grappler,Brazil,2019-09-07
25,Cody,Durden,Custom Made,Flyweight,14,Striker,United States,2020-08-01
26,Charles,Johnson,Inner G,Flyweight,15,MMA,United States,2022-07-23
27,Sean,O'Malley,Suga,Bantamweight,1,MMA,United States,2017-07-18
28,Umar,Nurmagomedov,,Bantamweight,2,MMA,Russia,2021-01-20
29,Petr,Yan,No Mercy,Bantamweight,3,Boxer,Russia,2018-06-23
30,Cory,Sandhagen,,Bantamweight,4,MMA,United States,2018-01-28
31,Deiveson,Figueiredo,Deus da Guerra,Bantamweight,5,Boxing,Brazil,2017-06-03
32,Marlon,Vera,Chito,Bantamweight,6,Grappler,Ecuador,2014-11-15
33,Henry,Cejudo,Triple C,Bantamweight,7,Wrestling,United States,2014-12-13
34,Song,Yadong,Kung Fu Kid,Bantamweight,8,Boxer,China,2017-11-25
35,Rob,Font,,Bantamweight,9,Striker,United States,2014-07-05
36,Mario,Bautista,,Bantamweight,10,Freestyle,United States,2019-01-19
37,José,Aldo,,Bantamweight,11,Jiu-Jitsu,Brazil,2011-04-30
38,Kyler,Phillips,The Matrix,Bantamweight,12,MMA,United States,2017-08-01
39,Jonathan,Martinez,Dragon,Bantamweight,13,Freestyle,United States,2018-10-27
40,Dominick,Cruz,The Dominator,Bantamweight,14,Wrestler,United States,2011-07-02
41,Montel,Jackson,Quik,Bantamweight,15,MMA,United States,2018-08-04
42,Alexander,Volkanovski,The Great,Featherweight,1,MMA,Australia,2016-10-15
43,Max,Holloway,Blessed,Featherweight,2,Muay Thai,United States,2012-02-04
44,Diego,Lopes,,Featherweight,3,Jiu-Jitsu,Brazil,2023-05-06
